k_frac,seed,policy,m0,m1,retention,order_bottom_gt_rand_gt_top
0.25,0,top_k,0.02027777777777778,0.006388888888888889,0.3150684931506849,0
0.25,0,rand_k,0.02027777777777778,0.012222222222222223,0.6027397260273972,0
0.25,0,bottom_k,0.02027777777777778,0.011388888888888888,0.5616438356164383,0
0.25,1,top_k,0.04111111111111111,0.006388888888888888,0.1554054054054054,1
0.25,1,rand_k,0.04111111111111111,0.015277777777777779,0.37162162162162166,1
0.25,1,bottom_k,0.04111111111111111,0.02777777777777778,0.6756756756756757,1
0.5,0,top_k,0.02027777777777778,0.006388888888888889,0.3150684931506849,0
0.5,0,rand_k,0.02027777777777778,0.012222222222222223,0.6027397260273972,0
0.5,0,bottom_k,0.02027777777777778,0.011388888888888888,0.5616438356164383,0
0.5,1,top_k,0.04111111111111111,0.006388888888888888,0.1554054054054054,1
0.5,1,rand_k,0.04111111111111111,0.015277777777777779,0.37162162162162166,1
0.5,1,bottom_k,0.04111111111111111,0.02777777777777778,0.6756756756756757,1
0.75,0,top_k,0.02027777777777778,0.0044444444444444444,0.2191780821917808,0
0.75,0,rand_k,0.02027777777777778,0.013888888888888888,0.6849315068493149,0
0.75,0,bottom_k,0.02027777777777778,0.008888888888888889,0.4383561643835616,0
0.75,1,top_k,0.04111111111111111,0.009444444444444445,0.22972972972972971,0
0.75,1,rand_k,0.04111111111111111,0.022222222222222223,0.5405405405405406,0
0.75,1,bottom_k,0.04111111111111111,0.02111111111111111,0.5135135135135135,0
